Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,FETCH_SIZE,WRITE_SIZE,SQ_WAVES,SQ_INSTS_VALU,GRBM_GUI_ACTIVE
499,"kernel_phase3(int*, int, int) [clone .kd]",2,0,1371,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98680.1875000000,93703.8125000000,98596,28716480,327757
500,"kernel_phase1(int*, int, int) [clone .kd]",2,0,1376,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.5625000000,0.0000000000,4,1112,36460
501,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,751,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,651.1250000000,0.0000000000,628,177216,26384
502,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,751,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,669.0625000000,0.0000000000,628,159120,28504
503,"kernel_phase3(int*, int, int) [clone .kd]",2,0,1382,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98667.9375000000,93701.8750000000,98596,28716480,327160
504,"kernel_phase1(int*, int, int) [clone .kd]",2,0,1387,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.5625000000,0.0000000000,4,1112,35752
505,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,757,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,651.1250000000,0.0000000000,628,177216,25789
506,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,757,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,667.2500000000,0.0000000000,628,159120,25967
507,"kernel_phase3(int*, int, int) [clone .kd]",2,0,1393,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98679.3125000000,93723.1250000000,98596,28716480,330061
508,"kernel_phase1(int*, int, int) [clone .kd]",2,0,1398,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.5625000000,0.0000000000,4,1112,36240
509,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,763,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,652.8750000000,0.0000000000,628,177216,26864
510,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,763,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,668.5000000000,0.0000000000,628,159120,26176
511,"kernel_phase3(int*, int, int) [clone .kd]",2,0,1404,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98675.3750000000,93703.4375000000,98596,28716480,324688
512,"kernel_phase1(int*, int, int) [clone .kd]",2,0,1409,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.5625000000,0.0000000000,4,1112,35472
513,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,769,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,651.1875000000,0.0000000000,628,177216,26340
514,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,769,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,669.2500000000,0.0000000000,628,159120,26916
515,"kernel_phase3(int*, int, int) [clone .kd]",2,0,1415,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98683.1250000000,93728.6875000000,98596,28716480,329764
516,"kernel_phase1(int*, int, int) [clone .kd]",2,0,1420,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.5625000000,0.0000000000,4,1112,35452
